,temp,location,clouds,pressure,rain,time_stamp,humidity,wind
0,42.42,0,1.0,1012.14,0.1228,1545003901,0.77,11.25
1,42.43,1,1.0,1012.15,0.1846,1545003901,0.76,11.32
2,42.5,2,1.0,1012.15,0.1089,1545003901,0.76,11.07
3,42.11,3,1.0,1012.13,0.0969,1545003901,0.77,11.09
4,43.13,4,1.0,1012.14,0.1786,1545003901,0.75,11.49
5,42.34,5,1.0,1012.15,0.2068,1545003901,0.77,11.49
6,42.36,6,1.0,1012.15,0.2088,1545003901,0.77,11.46
7,42.21,7,1.0,1012.16,0.2069,1545003901,0.77,11.37
8,42.07,8,1.0,1012.12,0.102,1545003901,0.78,11.28
9,43.05,9,1.0,1012.12,0.1547,1545003901,0.75,11.58
10,42.09,10,1.0,1012.13,0.1428,1545003901,0.78,11.41
20,43.31,9,0.8,990.8,0.0023,1543347920,0.71,8.36
23,43.92,7,1.0,1006.29,0.0409,1543277833,0.9,10.09
24,43.87,8,1.0,1006.24,0.0284,1543277833,0.91,9.74
251,44.29,0,1.0,998.12,0.0113,1543297520,0.89,14.24
252,44.28,1,1.0,998.13,0.011,1543297520,0.89,14.34
253,44.37,2,1.0,998.14,0.0073,1543297520,0.89,14.08
254,44.03,3,1.0,998.12,0.0107,1543297520,0.9,14.1
255,43.3,4,1.0,998.65,0.016,1543297520,0.9,10.17
256,44.18,5,1.0,998.13,0.0117,1543297520,0.89,14.44
257,43.12,6,1.0,998.67,0.012,1543297520,0.91,10.21
258,44.09,7,1.0,998.14,0.0097,1543297520,0.9,14.41
259,43.99,8,1.0,998.11,0.0127,1543297520,0.9,14.16
260,44.64,9,1.0,998.11,0.018,1543297520,0.88,14.42
261,43.06,10,1.0,998.65,0.0147,1543297520,0.91,10.15
262,44.04,11,1.0,998.14,0.0103,1543297520,0.9,14.38
305,44.09,0,0.99,1005.3,0.1577,1543281514,0.9,11.25
306,44.11,1,0.99,1005.33,0.1881,1543281514,0.9,11.3
307,44.07,2,0.99,1005.27,0.1301,1543281514,0.9,11.13
308,43.87,3,0.99,1005.25,0.1231,1543281514,0.91,11.15
309,44.87,4,0.99,1005.34,0.2125,1543281514,0.87,11.38
310,44.12,5,0.99,1005.36,0.2232,1543281514,0.9,11.37
311,44.17,6,0.99,1005.37,0.2349,1543281514,0.9,11.39
312,44.07,7,0.99,1005.36,0.2178,1543281514,0.9,11.35
313,43.88,8,0.99,1005.26,0.1303,1543281514,0.91,11.2
314,44.84,9,0.99,1005.33,0.204,1543281514,0.88,11.38
315,43.99,10,0.99,1005.32,0.1872,1543281514,0.9,11.33
316,44.01,11,0.99,1005.35,0.2043,1543281514,0.9,11.33
552,39.26,0,1.0,1019.52,0.0293,1543740774,0.86,3.99
553,39.26,1,1.0,1019.53,0.0294,1543740774,0.86,4.03
554,39.08,3,1.0,1019.5,0.0299,1543740774,0.87,3.91
555,39.28,4,1.0,1019.54,0.0322,1543740774,0.86,4.1
556,39.29,5,1.0,1019.54,0.0315,1543740774,0.86,4.08
557,39.33,6,1.0,1019.54,0.0325,1543740774,0.86,4.1
558,39.24,7,1.0,1019.54,0.0295,1543740774,0.86,4.06
559,39.13,8,1.0,1019.51,0.03,1543740774,0.87,3.96
560,39.26,9,1.0,1019.53,0.032,1543740774,0.86,4.11
561,39.19,10,1.0,1019.53,0.0313,1543740774,0.87,4.06
562,39.19,11,1.0,1019.54,0.0294,1543740774,0.86,4.05
725,44.28,1,1.0,998.2,0.0098,1543297497,0.89,14.65
726,44.07,3,1.0,998.19,0.0088,1543297497,0.9,14.42
728,40.37,2,1.0,1010.95,0.015,1545011102,0.9,10.18
729,41.35,9,1.0,1010.94,0.026,1545011102,0.87,10.69
730,40.2,11,1.0,1010.97,0.025,1545011102,0.9,10.49
895,37.54,1,0.47,998.84,0.0019,1543466398,0.72,10.14
899,37.47,5,0.48,998.83,0.0019,1543466398,0.72,10.2
900,37.51,6,0.48,998.83,0.0019,1543466398,0.72,10.22
901,37.37,7,0.48,998.83,0.0019,1543466398,0.72,10.17
905,37.31,11,0.47,998.84,0.0019,1543466398,0.72,10.15
990,41.76,1,1.0,1011.52,0.051,1545007502,0.83,10.8
991,41.77,2,0.95,1011.24,0.061,1545007502,0.83,10.49
992,41.55,3,0.96,1011.23,0.063,1545007502,0.84,10.58
993,42.79,4,1.0,1011.51,0.047,1545007502,0.8,10.96
994,41.61,8,0.95,1011.22,0.0599,1545007502,0.84,10.68
995,42.68,9,0.95,1011.19,0.047,1545007502,0.81,10.93
996,41.6,11,1.0,1011.53,0.05,1545007502,0.84,10.8
1042,49.48,0,0.88,1000.11,0.0044,1543841574,0.92,4.49
1043,49.31,1,0.89,1000.1,0.0084,1543841574,0.93,4.48
1044,49.4,2,0.88,1000.11,0.005,1543841574,0.92,4.45
1045,49.63,3,0.88,1000.12,0.0039,1543841574,0.92,4.48
1046,51.16,4,0.89,1000.1,0.0073,1543841574,0.87,4.52
1047,49.38,5,0.89,1000.1,0.0114,1543841574,0.92,4.49
1048,49.38,6,0.89,1000.1,0.0115,1543841574,0.92,4.5
1049,49.4,7,0.89,1000.1,0.0124,1543841574,0.92,4.48
1050,49.67,8,0.88,1000.11,0.0032,1543841574,0.92,4.5
1051,51.24,9,0.89,1000.1,0.0062,1543841574,0.86,4.53
1052,49.54,10,0.89,1000.11,0.0062,1543841574,0.92,4.51
1053,49.4,11,0.89,1000.1,0.0113,1543841574,0.92,4.48
1070,42.19,0,0.89,1015.01,0.0062,1543239310,0.91,3.61
1071,42.2,1,0.89,1015.01,0.0053,1543239310,0.92,3.64
1074,42.33,4,0.89,1015.01,0.0072,1543239310,0.91,3.63
1075,42.3,5,0.89,1015.01,0.0052,1543239310,0.91,3.66
1076,42.36,6,0.89,1015.01,0.0052,1543239310,0.91,3.66
1077,42.23,7,0.89,1015.01,0.0052,1543239310,0.92,3.67
1079,42.31,9,0.89,1015.01,0.0075,1543239310,0.91,3.62
1080,42.19,10,0.89,1015.01,0.0063,1543239310,0.92,3.62
1081,42.16,11,0.89,1015.01,0.0052,1543239310,0.92,3.66
1146,46.45,9,0.89,1021.79,0.002,1544874302,0.88,4.54
1148,41.72,7,0.93,1015.39,0.004,1543237510,0.91,3.55
1178,44.92,0,0.99,1008.4,0.0093,1543269909,0.87,7.47
1179,44.91,1,0.99,1008.41,0.0066,1543269909,0.87,7.51
1180,44.81,2,0.98,1008.39,0.0149,1543269909,0.87,7.3
1181,44.8,3,0.98,1008.38,0.013,1543269909,0.87,7.36
1182,45.47,4,0.99,1008.41,0.0045,1543269909,0.85,7.63
1183,44.96,5,0.99,1008.42,0.0045,1543269909,0.86,7.57
1184,45.0,6,0.99,1008.42,0.0043,1543269909,0.86,7.6
1185,44.92,7,0.99,1008.42,0.0055,1543269909,0.87,7.53
1186,44.9,10,0.99,1008.4,0.0065,1543269909,0.87,7.58
1187,44.88,11,0.99,1008.42,0.0056,1543269909,0.87,7.52
1228,43.76,10,0.99,1002.57,0.1354,1543286721,0.9,11.53
1229,44.51,10,1.0,1008.4,0.029,1543273935,0.88,9.51
1288,44.3,0,1.0,998.19,0.0099,1543297498,0.89,14.56
1289,44.39,2,1.0,998.21,0.0059,1543297498,0.89,14.4
1290,44.69,4,1.0,998.19,0.0128,1543297498,0.88,14.75
1291,44.17,5,1.0,998.21,0.0099,1543297498,0.89,14.75
1292,44.21,6,1.0,998.21,0.0099,1543297498,0.89,14.78
1293,44.09,7,1.0,998.21,0.0089,1543297498,0.9,14.72
1294,44.02,8,1.0,998.18,0.0109,1543297498,0.9,14.48
1295,44.64,9,1.0,998.1,0.0148,1543297498,0.88,14.79
1296,44.0,10,1.0,998.1,0.0129,1543297498,0.9,14.73
1324,44.49,3,0.97,1008.08,0.033,1543271718,0.88,9.1
1325,45.48,9,0.97,1008.13,0.0664,1543271718,0.84,9.34
1349,43.42,0,1.0,996.36,0.011,1543302920,0.91,10.83
1350,43.38,1,1.0,996.38,0.0117,1543302920,0.91,10.89
1351,43.41,2,1.0,996.37,0.0093,1543302920,0.91,10.74
1352,43.38,3,1.0,996.34,0.0103,1543302920,0.91,10.73
1353,43.74,4,1.0,996.37,0.0103,1543302920,0.9,10.94
1354,43.39,5,1.0,996.39,0.011,1543302920,0.91,10.96
1355,43.41,6,1.0,996.39,0.011,1543302920,0.91,10.98
1356,43.37,7,1.0,996.4,0.011,1543302920,0.91,10.95
1357,43.39,8,1.0,996.33,0.01,1543302920,0.91,10.76
1358,43.74,9,1.0,996.36,0.0103,1543302920,0.9,10.92
1359,43.37,10,1.0,996.36,0.011,1543302920,0.92,10.89
1360,43.34,11,1.0,996.39,0.011,1543302920,0.91,10.93
1409,42.54,0,1.0,1014.0,0.003,1544993102,0.74,9.8
1410,42.2,1,0.96,1014.08,0.003,1544993102,0.76,9.79
1411,42.3,2,0.97,1014.07,0.003,1544993102,0.76,9.55
1412,42.05,3,0.91,1013.91,0.003,1544993102,0.76,9.62
1415,42.12,7,0.96,1014.09,0.003,1544993102,0.77,9.8
1416,42.03,8,0.91,1013.9,0.003,1544993102,0.76,9.72
1419,42.0,11,0.96,1014.08,0.0029,1544993102,0.77,9.79
1474,43.96,0,1.0,1006.26,0.0497,1543277834,0.9,9.86
1475,43.93,1,1.0,1006.28,0.0288,1543277834,0.9,9.99
1476,43.98,2,1.0,1006.25,0.0272,1543277834,0.9,9.63
1477,43.88,3,1.0,1006.24,0.0521,1543277834,0.9,9.64
1478,44.84,4,1.0,1006.28,0.0298,1543277834,0.87,10.13
1479,43.94,5,1.0,1006.29,0.0425,1543277834,0.9,10.12
1480,43.97,6,1.0,1006.29,0.0323,1543277834,0.9,10.16
1481,44.82,9,1.0,1006.27,0.0423,1543277834,0.87,10.11
1482,43.88,10,1.0,1006.27,0.044,1543277834,0.91,10.03
1483,43.88,11,1.0,1006.29,0.0298,1543277834,0.91,10.05
1502,43.83,0,0.97,1005.9,0.2173,1543279333,0.91,10.93
1503,43.79,1,0.97,1005.92,0.1402,1543279333,0.91,11.07
1504,43.89,2,0.98,1005.89,0.2112,1543279333,0.91,10.64
1505,43.71,3,0.98,1005.87,0.2002,1543279333,0.92,10.68
1506,45.03,4,0.97,1005.92,0.1298,1543279333,0.87,11.24
1507,43.76,5,0.97,1005.94,0.139,1543279333,0.92,11.22
1508,43.79,6,0.97,1005.94,0.1386,1543279333,0.92,11.27
1509,43.73,7,0.97,1005.94,0.1438,1543279333,0.92,11.17
1510,43.68,8,0.98,1005.87,0.1407,1543279333,0.92,10.81
1511,45.0,9,0.97,1005.92,0.1252,1543279333,0.87,11.24
1512,43.67,10,0.97,1005.91,0.2231,1543279333,0.92,11.13
1513,43.69,11,0.97,1005.93,0.2361,1543279333,0.92,11.12
1561,42.73,9,0.9,1018.83,0.007,1544978707,0.73,9.71
1562,42.12,0,1.0,1013.08,0.005,1544996701,0.76,10.68
1563,41.95,1,0.95,1013.19,0.005,1544996701,0.77,10.64
1564,42.17,2,0.96,1013.18,0.003,1544996701,0.76,10.38
1565,41.96,3,1.0,1013.06,0.004,1544996701,0.77,10.57
1566,43.15,4,0.95,1013.18,0.004,1544996701,0.73,10.81
1567,41.99,5,0.95,1013.2,0.004,1544996701,0.77,10.71
1568,42.07,6,1.0,1013.11,0.004,1544996701,0.76,10.79
1569,41.97,7,1.0,1013.11,0.004,1544996701,0.76,10.7
1570,41.91,8,0.95,1013.15,0.005,1544996701,0.77,10.61
1571,43.13,9,1.0,1013.08,0.004,1544996701,0.73,10.9
1572,41.87,10,1.0,1013.08,0.005,1544996701,0.77,10.82
1573,41.87,11,1.0,1013.11,0.005,1544996701,0.77,10.69
1580,45.0,0,1.0,1012.21,0.003,1543765974,0.94,6.13
1581,45.01,1,1.0,1012.22,0.003,1543765974,0.94,6.24
1582,44.95,2,1.0,1012.2,0.003,1543765974,0.94,5.92
1583,44.86,3,1.0,1012.2,0.003,1543765974,0.95,5.94
1584,45.08,4,1.0,1012.22,0.003,1543765974,0.94,6.37
1585,44.99,5,1.0,1012.22,0.003,1543765974,0.95,6.36
1586,45.03,6,1.0,1012.22,0.003,1543765974,0.94,6.4
1587,44.95,7,1.0,1012.22,0.003,1543765974,0.95,6.33
1588,44.95,8,1.0,1012.2,0.003,1543765974,0.95,6.02
1589,45.1,9,1.0,1012.21,0.003,1543765974,0.94,6.35
1590,44.94,10,1.0,1012.21,0.003,1543765974,0.95,6.27
1591,44.9,11,1.0,1012.22,0.003,1543765974,0.95,6.29
1640,44.64,0,0.97,1008.11,0.048,1543271721,0.87,9.19
1641,44.64,1,0.97,1008.13,0.069,1543271721,0.87,9.21
1642,45.51,4,0.97,1008.13,0.073,1543271721,0.84,9.32
1643,44.68,5,0.97,1008.14,0.0866,1543271721,0.87,9.26
1644,44.63,7,0.97,1008.14,0.0866,1543271721,0.87,9.22
1645,44.51,8,0.97,1008.09,0.0332,1543271721,0.88,9.19
1646,44.59,10,0.97,1008.12,0.0607,1543271721,0.87,9.29
1647,44.59,11,0.97,1008.14,0.0782,1543271721,0.87,9.21
1660,44.55,0,0.91,1009.01,0.004,1543268108,0.86,9.41
1661,44.32,3,0.91,1008.99,0.003,1543268108,0.87,9.36
1662,45.31,4,0.91,1009.03,0.0003,1543268108,0.83,9.5
1663,44.48,7,0.92,1009.04,0.0003,1543268108,0.86,9.41
1664,44.33,8,0.91,1008.99,0.0041,1543268108,0.87,9.42
1665,45.27,9,0.91,1009.02,0.003,1543268108,0.83,9.52
1666,44.42,11,0.92,1009.03,0.0031,1543268108,0.86,9.41
1836,37.42,0,0.93,1017.88,0.002,1543625574,0.67,3.03
1837,37.4,1,0.93,1017.88,0.002,1543625574,0.67,3.08
1840,37.39,4,0.93,1017.88,0.002,1543625574,0.67,3.18
1841,37.41,5,0.93,1017.88,0.002,1543625574,0.67,3.15
1842,37.45,6,0.93,1017.88,0.002,1543625574,0.67,3.18
1843,37.37,7,0.93,1017.88,0.002,1543625574,0.67,3.13
1845,37.37,9,0.93,1017.88,0.0029,1543625574,0.67,3.18
1846,37.32,10,0.93,1017.88,0.0039,1543625574,0.67,3.12
1847,37.32,11,0.93,1017.88,0.0002,1543625574,0.67,3.11
1859,42.33,0,0.92,1018.9,0.013,1544978701,0.73,9.38
1860,42.35,5,0.91,1018.92,0.008,1544978701,0.73,9.47
1861,42.38,6,0.91,1018.92,0.008,1544978701,0.73,9.5
1862,42.35,10,0.92,1018.9,0.007,1544978701,0.73,9.48
1904,38.43,6,0.51,997.87,0.0015,1543457206,0.7,10.44
1905,38.36,7,0.51,997.88,0.002,1543457206,0.7,10.37
1909,38.31,11,0.51,997.88,0.0015,1543457206,0.7,10.36
1917,42.55,0,0.91,1014.84,0.0088,1543241109,0.91,2.25
1918,42.54,1,0.91,1014.85,0.004,1543241109,0.91,2.24
1919,42.39,2,0.92,1014.84,0.0189,1543241109,0.91,2.25
1920,42.37,3,0.91,1014.84,0.0156,1543241109,0.91,2.25
1921,42.27,4,0.91,1014.84,0.0022,1543241109,0.92,2.24
1922,42.59,7,0.91,1014.85,0.003,1543241109,0.9,2.23
1923,42.44,8,0.91,1014.84,0.0088,1543241109,0.91,2.25
1924,42.54,10,0.91,1014.84,0.003,1543241109,0.91,2.24
1925,42.53,11,0.91,1014.85,0.003,1543241109,0.91,2.24
1997,38.56,0,0.58,997.64,0.002,1543456300,0.7,9.88
1998,38.51,1,0.58,997.63,0.002,1543456300,0.7,9.92
2001,38.49,4,0.58,997.62,0.002,1543456300,0.7,10.02
2002,38.52,5,0.57,997.62,0.002,1543456300,0.7,9.98
2003,38.55,6,0.57,997.61,0.002,1543456300,0.7,10.0
2004,38.49,7,0.57,997.62,0.0007,1543456300,0.7,9.95
2006,38.45,9,0.58,997.62,0.002,1543456300,0.7,10.03
2007,38.41,10,0.58,997.63,0.0013,1543456300,0.7,9.98
2008,38.44,11,0.57,997.62,0.002,1543456300,0.7,9.93
2019,44.16,0,1.0,995.96,0.0153,1543304720,0.91,12.27
2020,44.14,1,1.0,995.98,0.016,1543304720,0.91,12.42
2021,44.15,2,1.0,995.97,0.017,1543304720,0.91,12.06
2022,44.05,3,1.0,995.95,0.0133,1543304720,0.92,12.05
2023,44.75,4,1.0,995.97,0.0107,1543304720,0.9,12.54
2024,44.12,5,1.0,995.99,0.0143,1543304720,0.92,12.56
2025,44.14,6,1.0,995.99,0.0133,1543304720,0.91,12.6
2026,44.08,7,1.0,995.99,0.0163,1543304720,0.92,12.53
2027,42.95,8,1.0,995.83,0.012,1543304720,0.92,9.55
2028,44.73,9,1.0,995.96,0.0097,1543304720,0.9,12.51
2029,44.05,10,1.0,995.96,0.0117,1543304720,0.92,12.43
2030,42.89,11,1.0,995.86,0.017,1543304720,0.92,9.68
2031,47.33,0,1.0,1007.49,0.007,1543773174,0.96,4.96
2032,47.32,1,1.0,1007.49,0.0069,1543773174,0.96,5.1
2033,47.28,2,1.0,1007.51,0.0061,1543773174,0.95,4.72
2034,47.25,3,1.0,1007.5,0.0052,1543773174,0.96,4.74
2035,46.91,4,1.0,1007.48,0.0059,1543773174,0.98,5.27
2036,47.39,5,1.0,1007.49,0.0058,1543773174,0.96,5.25
2037,47.42,6,1.0,1007.48,0.0049,1543773174,0.96,5.3
2038,47.36,7,1.0,1007.49,0.0058,1543773174,0.96,5.2
2039,47.32,8,1.0,1007.49,0.0052,1543773174,0.96,4.84
2040,46.94,9,1.0,1007.48,0.005,1543773174,0.97,5.25
2041,47.36,10,1.0,1007.48,0.0059,1543773174,0.96,5.15
2042,47.32,11,1.0,1007.49,0.0068,1543773174,0.96,5.16
2055,44.31,1,1.0,1003.15,0.1547,1543284920,0.9,13.65
2056,44.29,2,1.0,1003.11,0.121,1543284920,0.9,13.53
2057,44.65,4,1.0,1003.15,0.162,1543284920,0.89,13.73
2058,44.31,5,1.0,1003.17,0.1123,1543284920,0.9,13.69
2059,44.36,6,1.0,1003.18,0.147,1543284920,0.9,13.7
2060,44.12,8,1.0,1003.08,0.175,1543284920,0.91,13.64
2061,44.62,9,1.0,1003.13,0.1147,1543284920,0.9,13.74
2062,44.19,10,1.0,1003.13,0.1653,1543284920,0.91,13.7
2063,44.2,11,1.0,1003.17,0.144,1543284920,0.91,13.65
2064,41.31,1,0.91,991.52,0.002,1543424782,0.63,9.32
2065,41.48,3,0.91,991.53,0.002,1543424782,0.62,9.29
2079,44.75,2,0.96,989.75,0.002,1543319120,0.97,2.95
2092,44.11,0,1.0,993.16,0.0197,1543310120,0.94,9.07
2093,44.08,1,1.0,993.18,0.0213,1543310120,0.95,9.18
2094,44.09,2,1.0,993.17,0.0247,1543310120,0.94,9.04
2095,44.01,3,1.0,993.15,0.0237,1543310120,0.95,8.97
2096,44.67,4,1.0,993.17,0.0203,1543310120,0.93,9.18
2097,44.1,5,1.0,993.18,0.023,1543310120,0.94,9.27
2098,44.13,6,1.0,993.18,0.023,1543310120,0.94,9.29
2099,44.06,7,1.0,993.19,0.0233,1543310120,0.94,9.28
2100,44.04,8,1.0,993.15,0.0213,1543310120,0.95,8.95
2101,44.68,9,1.0,993.16,0.0193,1543310120,0.93,9.13
2102,44.06,10,1.0,993.16,0.0193,1543310120,0.95,9.11
2103,44.02,11,1.0,993.18,0.0223,1543310120,0.95,9.24
2182,42.49,5,1.0,1013.99,0.003,1544993101,0.74,9.92
2291,40.99,0,0.1,1006.2,0.003,1543499574,0.59,10.45
2292,40.91,1,0.11,1006.2,0.003,1543499574,0.6,10.46
2293,40.94,2,0.1,1006.21,0.003,1543499574,0.59,10.34
2294,41.02,3,0.1,1006.21,0.003,1543499574,0.59,10.39
2295,40.92,4,0.11,1006.19,0.0027,1543499574,0.6,10.54
2296,40.97,5,0.11,1006.19,0.0027,1543499574,0.59,10.49
2297,40.99,6,0.11,1006.19,0.0027,1543499574,0.59,10.51
2298,40.99,7,0.11,1006.19,0.003,1543499574,0.59,10.46
2299,41.03,8,0.1,1006.21,0.003,1543499574,0.59,10.46
2301,40.96,11,0.11,1006.19,0.003,1543499574,0.59,10.46
2320,44.61,0,1.0,996.84,0.023,1543301120,0.91,13.05
2321,44.6,1,1.0,996.86,0.026,1543301120,0.91,13.17
2322,44.64,2,1.0,996.83,0.019,1543301120,0.91,12.9
2323,44.44,3,1.0,996.81,0.018,1543301120,0.92,12.89
2324,43.1,4,1.0,997.09,0.0253,1543301120,0.91,9.57
2325,44.55,5,1.0,996.87,0.0277,1543301120,0.91,13.28
2326,44.58,6,1.0,996.88,0.0277,1543301120,0.91,13.32
2327,44.49,7,1.0,996.88,0.0287,1543301120,0.91,13.27
2328,44.44,8,1.0,996.81,0.02,1543301120,0.92,12.94
2329,43.12,9,1.0,997.08,0.025,1543301120,0.91,9.57
2330,44.44,10,1.0,996.85,0.025,1543301120,0.92,13.17
2331,44.45,11,1.0,996.87,0.0277,1543301120,0.91,13.23
